Rank,Player
1,Bryce Harper RF | WAS  $50 
2,Mike Trout CF | LAA  $49 
3,Paul Goldschmidt 1B | ARI  $49 
4,Josh Donaldson 3B | TOR  $42 
5,Giancarlo Stanton RF | MIA  $38 
6,Carlos Correa SS | HOU  $38 
7,Jose Bautista RF | TOR  $36 
8,Miguel Cabrera 1B | DET  $35 
9,Nolan Arenado 3B | COL  $35 
10,Clayton Kershaw SP | LAD  $35 
11,Andrew McCutchen CF | PIT  $35 
12,Manny Machado 3B | BAL  $32 
13,Anthony Rizzo 1B | CHC  $30 
14,Joey Votto 1B | CIN  $30 
15,Max Scherzer SP | WAS  $29 
16,Edwin Encarnacion 1B | TOR  $29 
17,Kris Bryant 3B | CHC  $29 
18,Jose Altuve 2B | HOU  $28 
19,A.J. Pollock CF | ARI  $28 
20,Chris Davis 1B | BAL  $27 
21,Jose Abreu 1B | CHW  $27 
22,Madison Bumgarner SP | SF  $26 
23,Jake Arrieta SP | CHC  $26 
24,George Springer RF | HOU  $25 
25,Corey Kluber SP | CLE  $25 
26,Buster Posey C | SF  $25 
27,Stephen Strasburg SP | WAS  $25 
28,Nelson Cruz RF | SEA  $25 
29,Mookie Betts CF | BOS  $24 
30,David Price SP | BOS  $24 
31,Matt Carpenter 3B | STL  $24 
32,Chris Sale SP | CHW  $24 
33,Brian Dozier 2B | MIN  $22 
34,Todd Frazier 3B | CHW  $22 
35,Zack Greinke SP | ARI  $22 
36,Dee Gordon 2B | MIA  $22 
37,Jacob deGrom SP | NYM  $21 
38,* Rougned Odor 2B | TEX  $21 
39,Starling Marte CF | PIT  $21 
40,Adam Jones CF | BAL  $20 
41,Robinson Cano 2B | SEA  $20 
42,Dallas Keuchel SP | HOU  $20 
43,Charlie Blackmon CF | COL  $20 
44,Matt Harvey SP | NYM  $20 
45,Jose Fernandez SP | MIA  $20 
46,Xander Bogaerts SS | BOS  $20 
47,Anthony Rendon 2B | WAS  $20 
48,Gerrit Cole SP | PIT  $19 
49,Noah Syndergaard SP | NYM  $19 
50,Adrian Beltre 3B | TEX  $19 
51,Matt Kemp RF | SD  $19 
52,Felix Hernandez SP | SEA  $19 
53,Ryan Braun RF | MIL  $19 
54,Kyle Schwarber LF | CHC  $19 
55,Troy Tulowitzki SS | TOR  $19 
56,Jon Lester SP | CHC  $18 
57,* Corey Seager SS | LAD  $18 
58,Justin Upton LF | DET  $18 
59,Chris Archer SP | TB  $18 
60,Justin Verlander SP | DET  $18 
61,Lorenzo Cain CF | KC  $18 
62,Cole Hamels SP | TEX  $18 
63,Michael Brantley LF | CLE  $18 
64,Yoenis Cespedes LF | NYM  $18 
65,J.D. Martinez RF | DET  $18 
66,Adam Wainwright SP | STL  $17 
67,Carlos Carrasco SP | CLE  $17 
68,Freddie Freeman 1B | ATL  $17 
69,Carlos Gonzalez RF | COL  $17 
70,Jason Heyward RF | CHC  $17 
71,David Ortiz DH | BOS  $17 
72,Danny Salazar SP | CLE  $17 
73,Kyle Seager 3B | SEA  $17 
74,Adrian Gonzalez 1B | LAD  $17 
75,Eric Hosmer 1B | KC  $16 
76,Sonny Gray SP | OAK  $16 
77,* Miguel Sano DH | MIN  $16 
78,Curtis Granderson RF | NYM  $15 
