Rank,Player
1,Bryce Harper RF | WAS  $45 
2,Mike Trout CF | LAA  $45 
3,Paul Goldschmidt 1B | ARI  $45 
4,Josh Donaldson 3B | TOR  $41 
5,Giancarlo Stanton RF | MIA  $41 
6,Carlos Correa SS | HOU  $39 
7,Anthony Rizzo 1B | CHC  $39 
8,Andrew McCutchen CF | PIT  $39 
9,Jose Altuve 2B | HOU  $37 
10,Jose Bautista RF | TOR  $35 
11,Nolan Arenado 3B | COL  $35 
12,Manny Machado 3B | BAL  $35 
13,Clayton Kershaw SP | LAD  $35 
14,A.J. Pollock CF | ARI  $35 
15,Joey Votto 1B | CIN  $35 
16,Max Scherzer SP | WAS  $35 
17,Buster Posey C | SF  $34 
18,Miguel Cabrera 1B | DET  $34 
19,Chris Davis 1B | BAL  $34 
20,Jake Arrieta SP | CHC  $34 
21,Edwin Encarnacion 1B | TOR  $35 
22,Jose Abreu 1B | CHW  $34 
23,Kris Bryant 3B | CHC  $34 
24,Mookie Betts CF | BOS  $31 
25,Corey Kluber SP | CLE  $31 
26,Chris Sale SP | CHW  $31 
27,Charlie Blackmon CF | COL  $30 
28,Madison Bumgarner SP | SF  $30 
29,David Price SP | BOS  $30 
30,Jacob deGrom SP | NYM  $30 
31,Stephen Strasburg SP | WAS  $30 
32,Matt Harvey SP | NYM  $28 
33,George Springer RF | HOU  $30 
34,Troy Tulowitzki SS | TOR  $30 
35,Brian Dozier 2B | MIN  $28 
36,Dallas Keuchel SP | HOU  $27 
37,Dee Gordon 2B | MIA  $27 
38,Jose Fernandez SP | MIA  $27 
39,Todd Frazier 3B | CHW  $26 
40,Adam Jones CF | BAL  $24 
41,J.D. Martinez RF | DET  $24 
42,Gerrit Cole SP | PIT  $22 
43,Felix Hernandez SP | SEA  $22 
44,Ryan Braun RF | MIL  $21 
45,Carlos Carrasco SP | CLE  $21 
46,Chris Archer SP | TB  $21 
47,Noah Syndergaard SP | NYM  $21 
48,Justin Upton LF | DET  $21 
49,Kyle Schwarber LF | CHC  $21 
50,Starling Marte CF | PIT  $21 
51,Zack Greinke SP | ARI  $20 
52,Michael Brantley LF | CLE  $17 
53,Yoenis Cespedes LF | NYM  $20 
54,Lorenzo Cain CF | KC  $19 
55,Jon Lester SP | CHC  $18 
56,Carlos Martinez SP | STL  $17 
57,Nelson Cruz RF | SEA  $20 
58,Carlos Gonzalez RF | COL  $18 
59,Sonny Gray SP | OAK  $17 
60,Cole Hamels SP | TEX  $17 
61,Carlos Gomez CF | HOU  $17 
62,Xander Bogaerts SS | BOS  $17 
63,* Maikel Franco 3B | PHI  $17 
64,Matt Carpenter 3B | STL  $17 
65,Anthony Rendon 2B | WAS  $17 
66,Adrian Gonzalez 1B | LAD  $17 
67,Francisco Lindor SS | CLE  $17 
68,* Corey Seager SS | LAD  $17 
69,Eric Hosmer 1B | KC  $16 
70,Freddie Freeman 1B | ATL  $16 
71,Albert Pujols 1B | LAA  $14 
72,Johnny Cueto SP | SF  $17 
73,Michael Wacha SP | STL  $16 
74,Tyson Ross SP | SD  $16 
75,Adam Wainwright SP | STL  $16 
76,Jason Heyward RF | CHC  $15 
77,* Miguel Sano DH | MIN  $15 
78,Danny Salazar SP | CLE  $14 
79,* Wade Davis RP | KC  $14 
80,Kenley Jansen RP | LAD  $14 
81,* Rougned Odor 2B | TEX  $17 
82,Robinson Cano 2B | SEA  $15 
