Rank,Player,Trends,Avg Pick,HI/LO,% Drafted,
1,Mike Trout CF | LAA,,1.29, 1/4,93.5
2,Mookie Betts RF | BOS,,2.56, 1/6,93.9
3,Max Scherzer SP | WAS ,,4.06, 1/12,91.4
4,Jose Ramirez 3B | CLE,,5.01, 3/11,93.5
5,Nolan Arenado 3B | COL, +3,9.53, 3/23,93.5
6,Jacob deGrom SP | NYM, -1,10.40, 4/25,91.4
7,Justin Verlander SP | HOU , -1,10.76, 3/30,91.8
8,Corey Kluber SP | CLE, +1,11.13, 4/28,91.8
9,Christian Yelich LF | MIL , -2,11.21, 5/24,93.9
10,J.D. Martinez DH | BOS , +2,12.06, 4/27,93.9
11,Bryce Harper RF | PHI , +7,12.14, 4/28,94.7
12,Alex Bregman 3B | HOU , +1,13.17, 5/26,93.1
13,Francisco Lindor SS | CLE , -2,13.30, 5/27,93.5
14,Chris Sale SP | BOS , -4,13.64, 5/29,91.0
15,Jose Altuve 2B | HOU , -1,14.50, 4/26,93.9
16,Ronald Acuna LF | ATL , -1,14.54, 5/29,93.5
17,Paul Goldschmidt 1B | STL, -1,16.16, 7/26,93.9
18,Gerrit Cole SP | HOU , -1,18.77, 8/35,91.4
19,Aaron Judge RF | NYY, +3,20.93, 7/40,93.9
20,Trevor Bauer SP | CLE,,21.94, 10/41,91.4
21,Manny Machado SS | SD, +3,23.43, 9/39,93.5
22,Blake Snell SP | TB , -1,25.43, 13/47,90.6
23,Aaron Nola SP | PHI ,,25.90, 13/48,91.0
24,Carlos Carrasco SP | CLE, +2,27.89, 13/50,91.8
25,Freddie Freeman 1B | ATL,,27.99, 15/45,93.9
26,Javier Baez 2B | CHC, +5,29.69, 13/47,93.9
27,Andrew Benintendi LF | BOS ,,30.00, 14/46,93.5
28,Trea Turner SS | WAS , +2,30.16, 14/55,93.5
29,Anthony Rendon 3B | WAS , -1,31.46, 16/48,93.9
30,Noah Syndergaard SP | NYM , -1,31.78, 18/54,91.4
31,Charlie Blackmon CF | COL , +1,32.00, 17/49,94.3
32,Rhys Hoskins LF | PHI, +5,32.26, 15/53,93.9
33,Anthony Rizzo 1B | CHC ,,32.42, 16/49,93.1
34,James Paxton SP | NYY ,,33.76, 15/56,92.2
35,Kris Bryant 3B | CHC, +3,36.67, 20/53,94.3
36,Luis Severino SP | NYY , -17,37.00, 12/76,91.4
37,Giancarlo Stanton DH | NYY , +5,38.14, 15/66,93.5
38,Juan Soto LF | WAS , +1,38.73, 19/58,94.3
39,Whit Merrifield 2B | KC , +1,39.60, 19/57,94.7
40,Walker Buehler SP | LAD , -5,39.86, 21/81,91.4
41,Trevor Story SS | COL, +3,40.80, 21/62,93.9
42,George Springer CF | HOU, +1,41.33, 24/59,94.3
43,Mike Clevinger SP | CLE, -2,42.48, 22/67,92.2
44,J.T. Realmuto C | PHI, +1,43.99, 25/67,94.3
45,Clayton Kershaw SP | LAD , -9,46.78, 17/88,91.0
46,Patrick Corbin SP | WAS,,47.12, 26/75,91.8
47,Xander Bogaerts SS | BOS, +1,47.40, 27/71,93.9
48,Gary Sanchez C | NYY, +3,51.17, 25/77,94.3
49,Zack Greinke SP | ARI ,,52.33, 32/91,92.2
