Rank,Player,Expert
1,Mike Trout CF | LAA  $46 ,1
2,Mookie Betts RF | BOS $46 ,1
3,Jose Ramirez 3B | CLE  $45 ,1
4,Nolan Arenado 3B | COL $42 ,1
5,J.D. Martinez DH | BOS $42 ,1
6,Max Scherzer SP | WAS  $41 ,1
7,Jose Altuve 2B | HOU $41 ,1
8,Alex Bregman 3B | HOU $39 ,1
9,Christian Yelich LF | MIL  $38 ,1
10,Chris Sale SP | BOS  $38 ,1
11,Jacob deGrom SP | NYM  $37 ,1
12,Bryce Harper RF | PHI  $37 ,1
13,Manny Machado SS | SD $37 ,1
14,Paul Goldschmidt 1B | STL  $35 ,1
15,Francisco Lindor SS | CLE  $35 ,1
16,Trea Turner SS | WAS  $35 ,1
17,Corey Kluber SP | CLE  $35 ,1
18,Justin Verlander SP | HOU  $35 ,1
19,Ronald Acuna LF | ATL  $33 ,1
20,Aaron Judge RF | NYY $33 ,1
21,Trevor Story SS | COL $33 ,1
22,Charlie Blackmon CF | COL $32 ,1
23,Freddie Freeman 1B | ATL $32 ,1
24,Blake Snell SP | TB  $32 ,1
25,Aaron Nola SP | PHI $32 ,1
26,Anthony Rizzo 1B | CHC $31 ,1
27,Anthony Rendon 3B | WAS  $31 ,1
28,Trevor Bauer SP | CLE $31 ,1
29,Gerrit Cole SP | HOU  $31 ,1
30,Giancarlo Stanton DH | NYY $30 ,1
31,Javier Baez 2B | CHC $30 ,1
32,Juan Soto LF | WAS $30 ,1
33,Andrew Benintendi LF | BOS $28 ,1
34,Noah Syndergaard SP | NYM $28 ,1
35,Carlos Carrasco SP | CLE $28 ,1
36,Patrick Corbin SP | WAS  $27 ,1
37,Zack Greinke SP | ARI $27 ,1
38,J.T. Realmuto C | PHI $27 ,1
39,Carlos Correa SS | HOU  $26 ,1
40,Kris Bryant 3B | CHC $25 ,1
41,Walker Buehler SP | LAD  $25 ,1
42,Khris Davis DH | OAK  $25 ,1
43,Joey Votto 1B | CIN $25 ,1
44,Xander Bogaerts SS | BOS  $25 ,1
45,James Paxton SP | NYY $24 ,1
46,Stephen Strasburg SP | WAS $24 ,1
47,Whit Merrifield 2B | KC $24 ,1
48,Rhys Hoskins LF | PHI  $24 ,1
49,Gary Sanchez C | NYY $24 ,1
50,Matt Carpenter 1B | STL  $23 ,1
51,* Corey Seager SS | LAD  $23 ,1
52,Jose Abreu 1B | CHW $23 ,1
53,German Marquez SP | COL $23 ,1
54,Mike Clevinger SP | CLE $23 ,1
55,George Springer CF | HOU $22 ,1
56,Edwin Diaz RP | NYM $22 ,1
57,Clayton Kershaw SP | LAD  $22 ,1
58,* Vladimir Guerrero 3B | TOR  $22 ,1
59,Ozzie Albies 2B | ATL $21 ,1
60,Eugenio Suarez 3B | CIN  $21 ,1
61,Jack Flaherty SP | STL  $21 ,1
62,Blake Treinen RP | OAK  $21 ,1
63,Cody Bellinger 1B | LAD $20 ,1
64,Luis Severino SP | NYY  $20 ,1
65,Starling Marte CF | PIT  $20 ,1
66,Daniel Murphy 2B | COL $19 ,1
67,Chris Archer SP | PIT $19 ,1
68,Jameson Taillon SP | PIT  $19 ,1
69,Jose Berrios SP | MIN $19 ,1
70,Justin Turner 3B | LAD  $18 ,1
